ticker,name,isin,instrument_key,lot_size,freeze_quantity,snapshot_date
UPL,UPL LIMITED,INE628A01036,NSE_EQ|INE628A01036,1355,100000,2026-09-08
SRF,SRF LTD,INE647A01010,NSE_EQ|INE647A01010,200,100000,2026-09-08
PIIND,PI INDUSTRIES LTD,INE603J01030,NSE_EQ|INE603J01030,175,100000,2026-09-08
COALINDIA,COAL INDIA LTD,INE522F01014,NSE_EQ|INE522F01014,1350,100000,2026-09-08
NTPC,NTPC LTD,INE733E01010,NSE_EQ|INE733E01010,1500,100000,2026-09-08
POWERGRID,POWER GRID CORP. LTD.,INE752E01010,NSE_EQ|INE752E01010,1900,100000,2026-09-08
TATAPOWER,TATA POWER CO LTD,INE245A01021,NSE_EQ|INE245A01021,1450,100000,2026-09-08
ADANIGREEN,ADANI GREEN ENERGY LTD,INE364U01010,NSE_EQ|INE364U01010,600,100000,2026-09-08
NHPC,NHPC LTD,INE848E01016,NSE_EQ|INE848E01016,6950,100000,2026-09-08
TORNTPOWER,TORRENT POWER LTD,INE813H01021,NSE_EQ|INE813H01021,0,100000,2026-09-08
BHARTIARTL,BHARTI AIRTEL LIMITED,INE397D01024,NSE_EQ|INE397D01024,475,100000,2026-09-08
IDEA,VODAFONE IDEA LIMITED,INE669E01016,NSE_EQ|INE669E01016,71475,100000,2026-09-08
SUNTV,SUN TV NETWORK LIMITED,INE424H01027,NSE_EQ|INE424H01027,0,100000,2026-09-08
ZEEL,ZEE ENTERTAINMENT ENT LTD,INE256A01028,NSE_EQ|INE256A01028,0,100000,2026-09-08
INDUSTOWER,INDUS TOWERS LIMITED,INE121J01017,NSE_EQ|INE121J01017,1700,100000,2026-09-08
DLF,DLF LIMITED,INE271C01023,NSE_EQ|INE271C01023,950,100000,2026-09-08
GODREJPROP,GODREJ PROPERTIES LTD,INE484J01027,NSE_EQ|INE484J01027,325,100000,2026-09-08
OBEROIRLTY,OBEROI REALTY LIMITED,INE093I01010,NSE_EQ|INE093I01010,350,100000,2026-09-08
PHOENIXLTD,THE PHOENIX MILLS LTD,INE211B01039,NSE_EQ|INE211B01039,350,100000,2026-09-08
